Applicant,Edu_Parent1,Edu_Parent2,Gender,White,Asian,HSGPA,SAT_ACT,College,Admitted,Enrolled,College_GPA
10843,6,7,F,0,1,4,1270,Arts & Letters,Yes,Yes,2.883
10844,4,3,F,0,1,4.05,1200,Arts & Letters,Yes,No,
10847,7,4,F,0,0,3.8,1240,Arts & Letters,No,No,
10849,1,1,F,0,0,3.26,960,Arts & Letters,No,No,
10851,5,6,F,1,0,3.04,1210,Arts & Letters,No,No,
10853,4,3,M,1,0,3.18,1080,Arts & Letters,No,No,
10854,4,4,F,0,0,3.48,920,Arts & Letters,No,No,
10857,3,3,F,1,0,2.95,1060,Arts & Letters,No,No,
10858,6,6,M,0,1,3.2,920,Arts & Letters,No,No,
10859,5,5,F,0,1,3.5,830,Arts & Letters,No,No,
10862,3,3,M,0,0,2.45,910,Arts & Letters,No,No,
10864,6,6,F,1,0,3.54,1090,Arts & Letters,No,No,
10865,6,6,F,1,0,3.05,1070,Arts & Letters,No,No,
10870,7,6,F,1,0,4.25,1340,Arts & Letters,Yes,No,
10871,4,4,F,1,0,3.92,1350,Arts & Letters,No,No,
10874,3,2,M,0,0,3.04,1130,Arts & Letters,No,No,
10877,7,7,F,0,0,3.33,1200,Arts & Letters,No,No,
10879,7,6,F,1,0,3.55,1330,Arts & Letters,Yes,No,
10883,6,5,F,1,0,3.95,1190,Arts & Letters,No,No,
10884,3,7,F,1,0,3.38,800,Arts & Letters,No,No,
10887,3,3,M,0,0,3.55,970,Arts & Letters,No,No,
10888,6,7,F,1,0,3.5,1380,Arts & Letters,No,No,
10889,2,1,F,0,1,2.67,1190,Arts & Letters,No,No,
10891,7,7,F,1,0,3.22,1090,Arts & Letters,No,No,
10899,4,6,F,1,0,3.38,1050,Arts & Letters,No,No,
10902,2,5,F,1,0,4.14,1090,Arts & Letters,Yes,No,
10905,4,7,M,0,0,2.79,1070,Arts & Letters,No,No,
10906,6,4,F,1,0,4.19,1290,Arts & Letters,Yes,No,
10909,1,1,F,0,0,3.71,1000,Arts & Letters,No,No,
10911,7,7,F,0,1,3.79,1250,Arts & Letters,Yes,No,
10912,7,4,F,1,0,3.95,1430,Arts & Letters,Yes,No,
10914,5,7,F,0,0,3.5,1080,Arts & Letters,No,No,
10915,6,6,F,1,0,3.25,1120,Arts & Letters,Yes,No,
10919,3,3,M,0,0,2.32,1120,Arts & Letters,No,No,
10920,7,7,F,0,0,3.86,1310,Arts & Letters,No,No,
10921,7,7,M,1,0,3.18,1190,Arts & Letters,No,No,
10922,1,1,F,1,0,3.52,1200,Arts & Letters,Yes,No,
10923,3,3,F,1,0,3.5,1000,Arts & Letters,No,No,
10924,7,7,F,1,0,3.15,1140,Arts & Letters,No,No,
10928,3,1,M,0,1,3.09,1050,Arts & Letters,No,No,
10930,7,7,M,1,0,3.15,1160,Arts & Letters,No,No,
10935,7,6,F,1,0,2.75,1140,Arts & Letters,No,No,
10936,6,6,F,1,0,4.23,1420,Arts & Letters,Yes,No,
10937,2,2,F,0,0,2.86,770,Arts & Letters,No,No,
10938,6,6,M,1,0,3,1090,Arts & Letters,No,No,
10941,7,7,F,1,0,4.12,1380,Arts & Letters,Yes,No,
10945,1,1,F,0,0,3.44,1080,Arts & Letters,No,No,
10946,7,6,M,1,0,4.18,1540,Arts & Letters,Yes,No,
10947,7,7,M,1,0,3.62,1280,Arts & Letters,Yes,No,
10949,7,6,F,0,1,3.05,1010,Arts & Letters,No,No,
10950,6,3,F,0,0,3.77,1230,Arts & Letters,No,No,
10956,6,4,F,0,0,3.44,1230,Arts & Letters,No,No,
10959,6,6,F,0,0,2.91,1120,Arts & Letters,No,No,
10960,7,6,F,0,0,3.42,1200,Arts & Letters,No,No,
10961,6,6,F,0,1,3.14,1220,Arts & Letters,No,No,
10964,2,3,F,0,0,3.68,1050,Arts & Letters,No,No,
10967,7,7,F,0,1,3.86,1250,Arts & Letters,No,Yes,3.707
10968,7,6,F,1,0,4.08,1210,Arts & Letters,No,No,
10973,3,1,M,0,0,3.4,1050,Arts & Letters,No,No,
10977,3,3,F,0,0,3.17,1070,Arts & Letters,No,No,
10978,7,6,M,1,0,4,1250,Arts & Letters,Yes,Yes,3.137
10986,6,7,F,0,0,4.2,1230,Arts & Letters,Yes,No,
10989,6,3,F,1,0,3.93,1150,Arts & Letters,Yes,Yes,3.501
10990,6,7,F,0,0,3.45,1010,Arts & Letters,No,No,
10991,1,3,M,0,1,3.4,1120,Arts & Letters,No,No,
10994,6,5,F,1,0,3.65,1210,Arts & Letters,No,No,
10995,3,6,F,0,0,2.42,950,Arts & Letters,No,No,
10997,6,5,F,1,0,4.2,1240,Arts & Letters,Yes,No,
11002,4,7,F,1,0,3.82,1170,Arts & Letters,Yes,Yes,3.689
11004,1,1,F,0,0,3.74,1130,Arts & Letters,No,No,
11005,6,7,M,1,0,2.83,1190,Arts & Letters,No,No,
11007,3,2,F,0,0,3,1040,Arts & Letters,No,No,
11009,6,6,F,1,0,2.88,1190,Arts & Letters,Yes,Yes,3.484
11015,6,6,M,1,0,3.55,1230,Arts & Letters,No,No,
11017,7,7,F,1,0,3.5,1080,Arts & Letters,No,No,
11018,6,6,F,1,0,3.67,1220,Arts & Letters,Yes,No,
11022,7,7,M,1,0,4,1190,Arts & Letters,Yes,No,
11026,3,3,F,0,1,3.71,1150,Arts & Letters,Yes,No,
11027,7,6,F,1,0,4.27,1320,Arts & Letters,Yes,No,
11039,6,6,F,1,0,4.1,1450,Arts & Letters,Yes,No,
11040,3,5,F,1,0,3.54,1200,Arts & Letters,No,No,
11041,6,6,F,0,0,3.69,1200,Arts & Letters,No,No,
11042,3,3,F,0,0,3.36,1100,Arts & Letters,No,No,
11043,2,2,F,1,0,3.83,1210,Arts & Letters,Yes,No,
11045,3,3,F,1,0,3.54,1230,Arts & Letters,No,No,
11047,3,6,F,1,0,3.12,1200,Arts & Letters,No,No,
11048,6,6,M,0,1,3,1140,Arts & Letters,No,No,
11054,7,6,F,1,0,4.27,1350,Arts & Letters,Yes,No,
11057,6,6,F,1,0,3.14,1380,Arts & Letters,Yes,No,
11058,6,6,F,1,0,4.08,1210,Arts & Letters,No,No,
11059,7,7,M,1,0,3.33,1270,Arts & Letters,No,No,
11061,6,6,F,1,0,3.41,1360,Arts & Letters,Yes,Yes,3
11064,7,6,F,0,0,3.67,1000,Arts & Letters,No,No,
11066,6,6,F,1,0,4.15,1280,Arts & Letters,No,No,
11067,7,6,F,1,0,4.15,1260,Arts & Letters,No,No,
11069,7,4,F,1,0,3.94,1290,Arts & Letters,No,No,
11075,6,7,M,1,0,3.43,1290,Arts & Letters,Yes,No,
11076,6,5,F,0,0,3.61,1170,Arts & Letters,No,No,
11079,7,5,M,1,0,3.5,1090,Arts & Letters,No,No,
11081,6,5,M,1,0,3.96,1100,Arts & Letters,Yes,No,
11083,7,7,M,1,0,4.09,1380,Arts & Letters,Yes,No,
11085,7,7,M,1,0,3.09,1280,Arts & Letters,No,No,
11088,7,4,F,1,0,3.55,1170,Arts & Letters,No,No,
11090,7,7,F,0,0,3.15,960,Arts & Letters,No,No,
11094,6,6,M,1,0,3.58,1260,Arts & Letters,No,No,
11095,3,3,M,1,0,3.29,1210,Arts & Letters,No,No,
11097,7,6,F,1,0,3.65,1100,Arts & Letters,Yes,Yes,3.33
11103,3,3,M,0,0,2.57,1000,Arts & Letters,No,No,
11104,7,7,M,1,0,3.5,1130,Arts & Letters,Yes,No,
11105,7,7,F,0,0,4,1190,Arts & Letters,Yes,No,
11107,7,4,F,1,0,4.14,1310,Arts & Letters,Yes,No,
11108,7,6,M,1,0,2.64,1360,Arts & Letters,No,No,
11113,4,6,M,1,0,3.9,1230,Arts & Letters,No,No,
11116,4,6,F,0,0,3.04,1320,Arts & Letters,No,No,
11120,4,4,F,0,0,4,1310,Arts & Letters,Yes,Yes,3.614
11121,4,6,F,0,0,3.13,1100,Arts & Letters,No,No,
11124,6,6,M,0,1,2.95,1120,Arts & Letters,No,No,
11126,6,3,F,1,0,4.27,1380,Arts & Letters,Yes,No,
11128,7,6,M,1,0,3.5,1410,Arts & Letters,Yes,No,
11138,6,6,M,0,0,4.05,1280,Arts & Letters,Yes,Yes,3.279
11139,6,6,M,1,0,4.22,1450,Arts & Letters,Yes,No,
11141,1,1,M,0,0,2.91,600,Arts & Letters,No,No,
11143,7,6,F,1,0,4.36,1330,Arts & Letters,No,No,
11145,7,4,M,1,0,3.08,1150,Arts & Letters,No,No,
11146,6,4,M,1,0,3.39,1300,Arts & Letters,No,No,
11149,6,4,F,1,0,3.52,1380,Arts & Letters,Yes,No,
11150,2,3,F,1,0,3.73,1090,Arts & Letters,No,No,
11152,7,7,M,0,0,3.83,1260,Arts & Letters,No,No,
11153,6,6,M,1,0,3.35,1260,Arts & Letters,No,Yes,2.822
11155,7,5,M,1,0,2.55,1170,Arts & Letters,No,No,
11159,1,3,M,0,0,3.14,810,Arts & Letters,No,No,
11161,4,4,F,1,0,3.77,1010,Arts & Letters,No,No,
11165,4,4,M,0,0,3.43,1060,Arts & Letters,No,No,
11169,4,3,F,0,0,3.43,1210,Arts & Letters,No,No,
11170,5,7,F,1,0,4.05,1020,Arts & Letters,Yes,No,
11171,6,6,M,0,0,3,1270,Arts & Letters,Yes,No,
11172,6,6,F,1,0,3.65,1290,Arts & Letters,No,No,
11173,6,5,F,1,0,3.92,1300,Arts & Letters,Yes,No,
11177,7,6,F,1,0,3.95,1080,Arts & Letters,Yes,No,
11181,3,3,M,0,1,3.56,1040,Arts & Letters,No,No,
11184,5,6,M,0,0,3.18,940,Arts & Letters,No,No,
11185,1,1,F,0,0,3.61,1010,Arts & Letters,Yes,No,
11192,6,7,F,1,0,3.86,1200,Arts & Letters,No,No,
11194,2,1,F,0,0,2.05,760,Arts & Letters,No,No,
11200,6,6,M,1,0,2.8,960,Arts & Letters,No,No,
11203,2,2,F,0,0,3.55,760,Arts & Letters,No,No,
11205,4,4,F,0,0,3.15,1070,Arts & Letters,No,No,
11206,5,5,F,1,0,3.18,1070,Arts & Letters,No,No,
11207,7,6,F,1,0,3.8,1030,Arts & Letters,No,No,
11209,7,6,F,1,0,3.75,950,Arts & Letters,No,No,
11213,3,4,F,1,0,3.43,1040,Arts & Letters,No,No,
11214,2,3,F,0,0,3.18,1190,Arts & Letters,No,No,
11215,1,1,F,0,0,3.05,1010,Arts & Letters,No,No,
11217,6,4,F,1,0,3.95,1190,Arts & Letters,Yes,No,
11218,6,4,F,0,0,2.86,1060,Arts & Letters,No,No,
11220,3,3,F,0,0,3,890,Arts & Letters,No,No,
11221,1,6,M,0,0,3.13,1050,Arts & Letters,No,No,
11224,6,4,F,0,1,3,1210,Arts & Letters,No,No,
11227,4,4,F,1,0,3.7,1090,Arts & Letters,No,No,
11228,4,4,F,1,0,3.44,1120,Arts & Letters,No,No,
11229,7,6,M,1,0,3.5,930,Arts & Letters,No,No,
11230,3,3,F,0,1,2.73,1170,Arts & Letters,No,No,
11232,5,5,M,0,1,3.27,1140,Arts & Letters,No,No,
11233,6,6,F,1,0,2.79,1070,Arts & Letters,No,No,
11235,6,6,F,1,0,3.25,1290,Arts & Letters,No,No,
11236,6,6,F,1,0,2.96,1060,Arts & Letters,No,No,
11237,7,6,F,1,0,4.23,1350,Arts & Letters,Yes,No,
11238,2,2,F,0,0,3.2,1100,Arts & Letters,Yes,Yes,3.27
11239,6,6,M,0,1,2.22,1180,Arts & Letters,No,No,
11241,4,4,F,0,0,3.23,1120,Arts & Letters,No,No,
11242,5,7,F,1,0,3.21,1040,Arts & Letters,No,No,
11243,7,6,F,1,0,3.21,990,Arts & Letters,No,No,
11245,1,1,F,0,0,4.1,1050,Arts & Letters,Yes,No,
11248,3,5,M,0,0,3.27,870,Arts & Letters,No,No,
11249,4,7,F,1,0,3.21,1150,Arts & Letters,No,No,
11252,7,7,F,0,1,3.75,1210,Arts & Letters,No,No,
11253,3,6,M,0,0,2.95,920,Arts & Letters,No,No,
11256,6,6,F,0,1,3.21,1100,Arts & Letters,No,No,
11260,7,6,F,1,0,3.23,1190,Arts & Letters,No,No,
11261,3,3,F,0,0,3.06,1050,Arts & Letters,No,No,
11262,7,7,M,0,1,3,1290,Arts & Letters,No,No,
11263,6,2,M,1,0,3.27,1040,Arts & Letters,No,No,
11264,7,7,F,1,0,4.14,1510,Arts & Letters,Yes,No,
11268,6,5,M,1,0,3.86,1270,Arts & Letters,Yes,No,
11269,7,7,F,1,0,3.73,1100,Arts & Letters,No,No,
11274,7,7,F,1,0,2.94,1000,Arts & Letters,No,No,
11276,6,6,F,1,0,3.25,990,Arts & Letters,No,No,
11278,7,5,M,1,0,3.73,1390,Arts & Letters,Yes,Yes,3.712
11282,6,6,M,1,0,3.5,1140,Arts & Letters,No,No,
11283,1,1,F,0,0,3.95,1090,Arts & Letters,Yes,No,
11284,6,4,M,1,0,3.14,1040,Arts & Letters,No,No,
11285,7,6,M,0,1,2.61,570,Arts & Letters,No,No,
11287,7,6,F,1,0,3.61,1250,Arts & Letters,No,No,
11290,3,3,F,1,0,3.18,1040,Arts & Letters,No,No,
11291,7,7,M,1,0,3.33,1140,Arts & Letters,No,No,
11294,6,4,M,1,0,3.5,1240,Arts & Letters,No,No,
11295,7,6,F,0,1,3.08,970,Arts & Letters,No,No,
11297,3,2,F,0,0,3.68,1060,Arts & Letters,No,No,
11312,7,7,F,0,0,3.72,1250,Arts & Letters,No,No,
11314,6,6,F,0,1,2.95,1110,Arts & Letters,No,No,
11317,6,6,M,0,0,2.73,1290,Arts & Letters,No,No,
11318,3,6,F,1,0,3.64,1270,Arts & Letters,No,No,
11320,5,4,F,0,0,2.72,1000,Arts & Letters,No,No,
11322,3,4,F,0,0,4.04,1250,Arts & Letters,No,No,
11324,3,3,M,1,0,4.07,1130,Arts & Letters,No,No,
11327,2,2,F,0,0,3.3,1130,Arts & Letters,Yes,No,
11333,2,2,F,0,0,3.1,770,Arts & Letters,No,No,
11335,7,7,F,1,0,3.16,1260,Arts & Letters,No,No,
11338,7,7,M,1,0,3.71,1180,Arts & Letters,No,Yes,3.586
11339,2,3,F,0,1,2.8,1130,Arts & Letters,No,No,
11341,7,6,F,0,1,4.17,1350,Arts & Letters,Yes,No,
11344,4,6,F,1,0,3.09,1210,Arts & Letters,No,No,
11345,7,6,F,1,0,3.25,1130,Arts & Letters,No,No,
11348,4,7,M,0,0,3.14,1040,Arts & Letters,No,No,
11354,6,7,F,1,0,3.77,1450,Arts & Letters,Yes,Yes,3.758
11356,6,6,F,0,1,3.35,930,Arts & Letters,No,No,
11357,4,7,F,1,0,3.82,1250,Arts & Letters,No,No,
11358,1,2,F,0,0,3.96,910,Arts & Letters,No,No,
11361,6,6,F,1,0,2.83,1050,Arts & Letters,No,No,
11368,6,6,F,0,1,3.65,1190,Arts & Letters,No,No,
11372,7,7,F,0,0,3.64,1240,Arts & Letters,Yes,Yes,2.721
11373,6,4,F,1,0,2.8,1270,Arts & Letters,No,No,
11376,3,7,F,1,0,4.05,1000,Arts & Letters,No,No,
11377,3,3,F,0,0,2.65,900,Arts & Letters,No,No,
11378,3,2,M,0,1,3.39,980,Arts & Letters,No,No,
11379,1,1,F,0,0,3.55,880,Arts & Letters,No,No,
11380,3,3,F,0,0,4,1220,Arts & Letters,Yes,No,
11383,7,5,M,0,0,2.76,960,Arts & Letters,No,No,
11384,4,7,M,0,0,4.3,1340,Arts & Letters,Yes,Yes,3.226
11386,1,1,F,0,0,4.14,1300,Arts & Letters,Yes,No,
11388,3,3,M,0,1,4.18,1090,Arts & Letters,No,No,
11393,3,4,F,1,0,4.16,1070,Arts & Letters,No,Yes,3.364
11394,1,1,F,0,0,3,770,Arts & Letters,No,No,
11395,1,1,F,0,0,3.55,1070,Arts & Letters,No,No,
11396,1,1,M,0,1,2.83,1080,Arts & Letters,No,No,
11397,2,3,F,1,0,2.64,1100,Arts & Letters,No,No,
11399,6,4,M,1,0,4.05,1070,Arts & Letters,No,No,
11402,6,6,M,0,1,2.87,1080,Arts & Letters,No,No,
11404,2,3,F,1,0,3.58,1270,Arts & Letters,No,No,
11406,6,6,F,0,0,3.05,1080,Arts & Letters,No,No,
11407,1,2,M,0,0,3.45,990,Arts & Letters,No,No,
11408,7,3,F,0,0,3.81,1210,Arts & Letters,No,No,
11409,4,4,F,0,0,3.04,1040,Arts & Letters,No,No,
11410,4,5,F,1,0,2.86,870,Arts & Letters,No,No,
11416,1,1,F,0,1,4.12,1030,Arts & Letters,Yes,No,
11418,6,6,F,1,0,3.54,1190,Arts & Letters,No,No,
11419,6,4,F,1,0,3.29,1170,Arts & Letters,No,No,
11420,4,6,F,1,0,3.75,960,Arts & Letters,No,No,
11426,2,2,F,0,0,4.08,1160,Arts & Letters,Yes,No,
11427,6,6,M,1,0,3.05,990,Arts & Letters,No,No,
11429,5,4,F,1,0,3.46,1130,Arts & Letters,No,No,
11431,4,6,F,0,1,3.71,1090,Arts & Letters,No,No,
11432,7,7,F,1,0,4.33,1390,Arts & Letters,Yes,No,
11434,5,7,M,1,0,3.27,1470,Arts & Letters,No,No,
11437,6,3,M,1,0,3.56,1060,Arts & Letters,No,No,
11438,5,6,M,0,0,2.5,830,Arts & Letters,No,No,
11439,6,2,M,0,0,3,1090,Arts & Letters,No,No,
11440,4,7,M,1,0,2.77,1100,Arts & Letters,No,No,
11443,7,7,F,0,0,3.71,1100,Arts & Letters,Yes,Yes,3.512
11444,1,2,M,0,0,3.72,1220,Arts & Letters,Yes,No,
11448,6,6,F,1,0,3.68,1040,Arts & Letters,No,No,
11451,3,4,M,0,1,3.43,1130,Arts & Letters,No,No,
11456,7,7,F,1,0,4,1500,Arts & Letters,Yes,No,
11458,7,6,F,0,1,3.36,1320,Arts & Letters,No,No,
11461,1,1,F,0,0,3.13,1020,Arts & Letters,No,No,
11468,7,7,M,1,0,3.88,1200,Arts & Letters,No,No,
11469,3,3,M,1,0,2.94,930,Arts & Letters,No,No,
11470,5,6,F,0,0,4,1110,Arts & Letters,No,No,
11474,2,2,M,0,1,3.72,1140,Arts & Letters,Yes,No,
11477,2,4,F,1,0,3.45,910,Arts & Letters,No,No,
11478,3,7,F,0,1,3.1,1000,Arts & Letters,No,No,
11483,6,6,F,1,0,3.54,1270,Arts & Letters,No,No,
11485,4,6,F,0,0,3.61,810,Arts & Letters,No,No,
11486,2,1,F,0,0,3.75,1040,Arts & Letters,No,No,
11489,2,2,F,0,1,3.95,1210,Arts & Letters,No,No,
11490,6,7,M,1,0,3.25,1220,Arts & Letters,No,No,
11491,7,6,F,0,1,4.12,1470,Arts & Letters,Yes,No,
11495,6,6,F,0,0,2.55,900,Arts & Letters,No,No,
11497,4,5,F,1,0,3.48,1130,Arts & Letters,No,No,
11501,6,6,M,0,0,3.43,1330,Arts & Letters,No,No,
11502,6,6,F,1,0,3.85,1370,Arts & Letters,No,No,
11503,6,6,F,1,0,4.12,1180,Arts & Letters,Yes,No,
11506,7,3,F,0,1,2.86,1370,Arts & Letters,No,No,
11507,4,6,M,0,0,2.95,1180,Arts & Letters,No,No,
11508,4,4,F,0,0,3.23,1010,Arts & Letters,No,No,
11509,6,6,F,1,0,3.4,1090,Arts & Letters,No,No,
11519,6,6,F,1,0,3.17,920,Arts & Letters,No,No,
11520,5,6,F,0,1,3.96,1310,Arts & Letters,No,No,
11522,3,6,F,0,0,3.51,1010,Arts & Letters,No,No,
11523,1,6,F,0,0,2.92,780,Arts & Letters,No,No,
11527,6,6,M,0,0,3.08,1200,Arts & Letters,No,No,
11529,7,6,M,1,0,4.05,1260,Arts & Letters,No,No,
11536,6,6,M,1,0,2.96,1220,Arts & Letters,No,No,
11537,6,7,F,1,0,3.35,1080,Arts & Letters,No,No,
11541,6,6,F,1,0,3.72,1280,Arts & Letters,Yes,Yes,2.872
11542,6,6,M,1,0,3.62,1090,Arts & Letters,No,No,
11547,6,3,M,0,1,3.05,1230,Arts & Letters,No,No,
11549,7,7,F,0,0,3.36,1250,Arts & Letters,No,No,
11551,6,6,F,1,0,3.48,1240,Arts & Letters,No,No,
11552,1,1,F,0,0,2.82,870,Arts & Letters,No,No,
11553,3,5,F,1,0,3.79,950,Arts & Letters,No,No,
11554,6,6,F,1,0,3.7,1150,Arts & Letters,Yes,Yes,2.307
11555,4,4,M,1,0,3.25,1010,Arts & Letters,No,No,
11556,4,4,F,1,0,3.56,1230,Arts & Letters,No,No,
11557,5,1,F,0,0,3.75,970,Arts & Letters,No,No,
11558,7,6,F,1,0,3.86,1360,Arts & Letters,No,No,
11560,7,6,F,0,0,3.74,1170,Arts & Letters,No,No,
11563,7,4,F,0,0,2.38,1090,Arts & Letters,No,No,
11565,4,6,F,0,1,3.73,1200,Arts & Letters,No,No,
11566,7,6,F,1,0,3.95,1250,Arts & Letters,Yes,Yes,3.816
11571,1,1,F,0,0,3.68,1030,Arts & Letters,No,No,
11573,4,4,M,1,0,2.61,1000,Arts & Letters,No,No,
11576,1,1,F,0,1,3.33,1100,Arts & Letters,Yes,No,
11577,4,6,M,0,0,2.83,1010,Arts & Letters,No,No,
11579,7,7,F,0,1,4.07,1330,Arts & Letters,Yes,No,
11580,7,6,F,1,0,4.08,1260,Arts & Letters,Yes,No,
11581,6,4,M,0,1,3.15,1170,Arts & Letters,No,No,
11584,6,6,F,1,0,3.68,1280,Arts & Letters,Yes,No,
11585,6,6,F,1,0,2.95,940,Arts & Letters,No,No,
11586,6,4,F,0,0,2.88,950,Arts & Letters,No,No,
11592,7,5,M,0,0,4.05,1360,Arts & Letters,Yes,Yes,3.39
11595,6,6,F,1,0,3.77,1180,Arts & Letters,No,No,
11596,3,3,M,0,1,2.86,1140,Arts & Letters,No,No,
11597,5,3,M,0,0,3.05,900,Arts & Letters,No,No,
11600,4,6,M,1,0,2.6,1120,Arts & Letters,No,No,
11602,2,2,F,1,0,3.67,1000,Arts & Letters,No,No,
11605,1,4,F,0,0,3.05,710,Arts & Letters,No,No,
11607,7,7,F,1,0,3.96,1180,Arts & Letters,No,Yes,3.423
11609,3,3,M,1,0,2.8,1090,Arts & Letters,No,No,
11610,7,7,F,1,0,3.8,1420,Arts & Letters,Yes,No,
11612,6,6,F,1,0,3.35,1040,Arts & Letters,No,No,
11614,6,7,F,1,0,3.08,1410,Arts & Letters,Yes,No,
11617,7,7,M,1,0,3.77,1320,Arts & Letters,No,No,
11622,7,7,F,1,0,4.04,1560,Arts & Letters,Yes,No,
11624,6,6,M,0,0,4,1260,Arts & Letters,Yes,No,
11627,3,3,M,0,0,2.91,1060,Arts & Letters,No,No,
11628,5,6,F,1,0,3.83,1110,Arts & Letters,No,No,
11634,7,7,F,0,0,2.81,1190,Arts & Letters,No,No,
11635,7,7,M,0,0,3.71,1280,Arts & Letters,Yes,No,
11638,6,6,F,0,0,3.88,1110,Arts & Letters,No,No,
11639,7,6,F,0,0,4.09,1440,Arts & Letters,Yes,No,
11640,7,7,F,1,0,1.86,780,Arts & Letters,No,No,
11641,6,6,F,0,0,3.17,1100,Arts & Letters,No,No,
11643,4,4,F,0,1,3.96,1290,Arts & Letters,No,No,
11648,1,2,M,0,0,2.86,950,Arts & Letters,No,No,
11649,1,1,F,0,0,3.91,1310,Arts & Letters,No,No,
11653,4,6,F,1,0,3.45,1290,Arts & Letters,Yes,No,
11655,6,5,F,1,0,2.86,1120,Arts & Letters,No,No,
11659,7,7,F,0,0,4.25,1530,Arts & Letters,Yes,No,
11660,7,7,F,1,0,3.9,1110,Arts & Letters,No,No,
11662,6,7,F,0,0,3.86,1250,Arts & Letters,No,No,
11663,7,6,F,1,0,4.17,1190,Arts & Letters,Yes,Yes,3.752
11667,6,4,F,0,0,3.61,1150,Arts & Letters,No,No,
11668,3,7,F,0,1,3.26,1180,Arts & Letters,Yes,Yes,2.509
11671,6,3,F,0,1,3.47,1220,Arts & Letters,No,No,
11676,6,5,F,0,1,4.04,1340,Arts & Letters,Yes,No,
11678,6,5,F,1,0,3.45,1050,Arts & Letters,No,No,
11682,5,7,F,0,0,4.09,1290,Arts & Letters,Yes,No,
11683,6,7,F,1,0,3.95,1160,Arts & Letters,No,No,
11685,3,3,M,0,0,3.92,1380,Arts & Letters,Yes,No,
11686,6,3,F,0,0,3.43,1030,Arts & Letters,No,No,
11687,4,3,F,0,0,3.46,990,Arts & Letters,No,No,
11690,6,7,F,1,0,3.61,1230,Arts & Letters,No,No,
11691,6,7,F,1,0,3.36,1090,Arts & Letters,No,No,
11694,7,7,M,1,0,3.54,1460,Arts & Letters,Yes,No,
11702,4,6,M,0,0,4.23,1250,Arts & Letters,Yes,No,
11705,6,6,F,1,0,3.59,1150,Arts & Letters,No,No,
11710,6,6,M,0,1,3.8,1070,Arts & Letters,No,No,
11711,6,7,F,0,1,3.19,1330,Arts & Letters,No,No,
11712,5,6,F,1,0,3.96,1150,Arts & Letters,No,No,
11715,4,3,F,0,0,3.65,1190,Arts & Letters,No,No,
11716,7,6,F,1,0,3.96,1320,Arts & Letters,No,No,
11719,3,4,M,0,0,2.85,920,Arts & Letters,No,No,
11721,6,7,F,1,0,4.12,1180,Arts & Letters,No,No,
11722,4,4,F,1,0,3.61,970,Arts & Letters,Yes,Yes,3.068
11727,6,4,F,0,1,3.25,1200,Arts & Letters,No,No,
11728,4,5,M,0,0,2.85,790,Arts & Letters,No,No,
11732,6,7,F,0,1,4.33,1450,Arts & Letters,Yes,No,
11733,1,1,F,0,0,3.11,950,Arts & Letters,No,No,
11737,7,7,F,1,0,4.08,1230,Arts & Letters,Yes,Yes,3.547
11738,6,4,M,0,1,2.36,860,Arts & Letters,No,No,
11739,3,3,F,0,0,2.68,960,Arts & Letters,No,No,
11741,6,7,M,1,0,3.35,1180,Arts & Letters,No,No,
11743,6,5,F,0,0,3.22,1110,Arts & Letters,No,No,
11744,5,4,F,0,1,4.17,1390,Arts & Letters,Yes,No,
11747,6,6,F,0,0,3.5,1100,Arts & Letters,No,No,
11749,4,2,F,0,1,3.43,1300,Arts & Letters,No,No,
11751,6,6,F,0,1,2.62,1240,Arts & Letters,No,No,
11752,1,1,F,0,0,3.73,1210,Arts & Letters,Yes,No,
11754,7,6,M,1,0,3.65,1050,Arts & Letters,No,No,
11758,3,6,F,0,0,4.14,1200,Arts & Letters,No,No,
11759,3,3,F,0,1,3.65,1210,Arts & Letters,No,No,
11766,3,1,M,0,1,3.75,1060,Arts & Letters,No,No,
11768,5,6,F,1,0,4.12,1260,Arts & Letters,No,No,
11770,6,6,F,1,0,2.64,1190,Arts & Letters,No,No,
11776,1,2,F,1,0,3.76,1100,Arts & Letters,Yes,No,
11781,7,3,F,0,0,4.05,1280,Arts & Letters,Yes,No,
11783,7,5,F,1,0,4.27,1310,Arts & Letters,Yes,No,
11784,6,4,M,0,0,2.91,1250,Arts & Letters,No,No,
11786,4,6,F,0,0,4,1180,Arts & Letters,Yes,Yes,3.765
11790,7,6,F,0,0,3.88,1150,Arts & Letters,Yes,No,
11791,6,6,M,0,1,2.38,1100,Arts & Letters,No,No,
11795,6,4,F,1,0,2.76,1050,Arts & Letters,No,No,
11796,7,7,F,1,0,3.79,1100,Arts & Letters,Yes,No,
11799,7,5,F,0,1,4.08,1470,Arts & Letters,No,No,
11802,6,6,F,1,0,3.73,1330,Arts & Letters,No,No,
11806,7,5,M,1,0,3.27,1020,Arts & Letters,No,No,
11808,3,3,F,0,0,2.59,880,Arts & Letters,No,No,
11810,7,4,F,1,0,2.88,930,Arts & Letters,No,No,
11811,7,5,F,1,0,3.57,970,Arts & Letters,Yes,Yes,1.568
11812,7,7,M,0,1,3.13,940,Arts & Letters,No,No,
11813,6,6,M,1,0,4.18,1340,Arts & Letters,No,No,
11814,4,6,M,1,0,3.77,1240,Arts & Letters,No,No,
11816,7,6,M,1,0,4.33,1490,Arts & Letters,Yes,No,
